feature_id,feature,geometry_type,x_mm,y_mm,width_or_diameter_mm,height_mm,z_or_depth_mm,basis,confidence,release_status,notes
FACE-ENV,Visible front-fascia quotation envelope,rounded_rectangle,0.0,0.0,1400.0,250.0,100.0,ASSUMED_QUOTATION,low,HOLD_M1,"Visible face only; not the complete outer/end shell; replace with signed 1:1 trace"
FACE-MID,Quotation-envelope midpoint,point,700.0,125.0,,,,DERIVED_FROM_ASSUMED_ENVELOPE,low,HOLD_M1,"Recalculate from signed complete-face trace"
LCD-AA,9-inch LCD active image,rectangle_center,700.0,125.0,198.91,111.89,0.0,OWNER_SUPPLIED_COMPONENT,medium,HOLD_M4,"Active-image centre must equal the final traced complete-face midpoint"
LCD-MOD,9-inch LCD module,rectangle_center,700.0,125.0,211.10,126.50,5.0,OWNER_SUPPLIED_COMPONENT,medium,HOLD_M4_M5,"Confirm actual unit corner radii rear body mounts connectors and active-image offsets"
LCD-CUT,LCD provisional visible opening,rounded_rectangle_center,700.0,125.0,202.0,115.0,3.0,ASSUMED_QUOTATION,low,DO_NOT_CUT,"Derive from actual bezel touch border and carrier"
LCD-KEEP,LCD minimum local reserve,rectangle_center,700.0,125.0,221.10,136.50,,ASSUMED_QUOTATION,low,HOLD_M5,"Expand for actual carrier heat sink connectors cable bends and removal path"
VENT-L-FACE,Passenger circular outlet visible face,circle_center,135.0,70.0,87.0,,22.0,OWNER_SUPPLIED_TARGET_PLUS_ASSUMED_CENTRE,medium,HOLD_M1_M7_M9,"Same V32 selected centre; final centre follows signed fixed land and rear mock-up"
VENT-R-FACE,Driver circular outlet visible face,circle_center,1265.0,70.0,87.0,,22.0,OWNER_SUPPLIED_TARGET_PLUS_ASSUMED_CENTRE,medium,HOLD_M1_M7_M9,"Same V32 selected centre; clear selector stack loom cluster and end return"
VENT-L-CUT,Passenger outlet candidate coupon aperture,circle_center,135.0,70.0,75.50,,,COUPON_CANDIDATE,low,COUPON_ONLY,"Only if actual measured slip-through boss is no greater than 75.00"
VENT-R-CUT,Driver outlet candidate coupon aperture,circle_center,1265.0,70.0,75.50,,,COUPON_CANDIDATE,low,COUPON_ONLY,"Only if actual measured slip-through boss is no greater than 75.00"
SW-T1,WIPERS 3-position selector,circle_center,1060.0,137.5,22.5,,68.0,ASSUMED_QUOTATION,low,HOLD_M6,"Visible head provisionally Ø30"
SW-T2,LIGHTS 3-position selector,circle_center,1110.0,137.5,22.5,,68.0,ASSUMED_QUOTATION,low,HOLD_M6,"Visible head provisionally Ø30"
SW-T3,SPOTS 2-position selector,circle_center,1160.0,137.5,22.5,,68.0,ASSUMED_QUOTATION,low,HOLD_M6,"Visible head provisionally Ø30"
SW-T4,AUX 2-position selector,circle_center,1210.0,137.5,22.5,,68.0,ASSUMED_QUOTATION,low,HOLD_M6,"Visible head provisionally Ø30"
SW-B1,BLOWER 3-position selector,circle_center,1060.0,190.0,22.5,,68.0,ASSUMED_QUOTATION,low,HOLD_M6_M8,"OFF LOW HIGH; no motor current through selector"
SW-B2,A-C 2-position selector,circle_center,1110.0,190.0,22.5,,68.0,ASSUMED_QUOTATION,low,HOLD_M6_M8,"Low-current A/C request"
SW-B3,FUEL STOP 2-position selector,circle_center,1160.0,190.0,22.5,,68.0,ASSUMED_QUOTATION,low,HOLD_M6_M10,"RUN STOP request; retain key-off and manual fallback"
SW-B4,Separate red hazard control,circle_center,1210.0,190.0,22.5,,68.0,ASSUMED_QUOTATION,low,HOLD_M6_M10,"Not an eighth black selector"
OEM-GB,Original asymmetric glovebox,imported_profile,,,,,,VEHICLE_TRACE_LOCK,high_visual_only,HOLD_M2,"Copy lid aperture mounts hardware and sweep without moving resizing or symmetrising"
OEM-CL,Original Toyota speedometer cluster,imported_profile,,,,,,VEHICLE_TRACE_LOCK,high_visual_only,HOLD_M3,"Copy complete aperture mounts rear package and installed position"
OEM-COL,Factory RHD steering column and scallop,imported_profile,,,,,,VEHICLE_TRACE_LOCK,high_visual_only,HOLD_M3,"Shaft axis U-profile and moving envelope are immutable"
ASH-DEL,Original ashtray deletion,imported_profile,,,,,,VEHICLE_TRACE_LOCK,high_visual_only,HOLD_M2,"Remove separate ashtray and close its traced aperture flush"
