local_time,ZTEXT,ZMEDIALOCALPATH
"2026-04-25 14:17:36","Battery end pretty much done",
"2026-04-24 20:37:14","down to that lower row of switches",
"2026-04-24 20:30:14","well - you remove 4 switches from the right cluster",
"2026-04-22 03:09:30","hidden engine cutoff emergency switch
",
"2026-04-21 20:05:35","spare hole - used to be all LED switches",
"2026-04-21 20:02:24","Dash switch list from your current plan is in switch_layout.csv:
•
Headlights (OFF / PARK / HEAD) - 22 mm 3-position maintained selector
•
Wipers (OFF / LOW / HIGH) - 22 mm 3-position maintained selector
•
Hazard (ON / OFF, illuminated) - 16 mm red latching pushbutton
•
Fan speed (OFF / LOW / HIGH) - 22 mm 3-position maintained selector
•
A/C master (ON / OFF) - 22 mm 2-position maintained selector
•
Spot lamps (ON / OFF) - 22 mm 2-position maintained selector
•
Aux power (ON / OFF) - optional, 22 mm 2-position selector
•
Rear work light (ON / OFF) - optional, 22 mm 2-position selector
Non-dash notes in same sheet:
•
Horn is steering-wheel momentary (not a dash switch)
•
Fuel stop is integrated with ignition (no separate dash switch), but you now also track a received hidden cutoff switch in expenses.csv.",
"2026-04-21 01:00:01","i’ve done the switch layout/replacement",
"2026-04-21 00:56:08","and as we have enough switches (with some transferred to wheel sticks etc)",
"2026-04-21 00:53:38","I have all these sort of posh industrial switches",
"2026-04-21 00:53:07","For example. Ur unified and modernized switch idea is great. I feel I can make u a bolt on layout idea. Slick and period correct",
