route_id,system,route_name,model_required,model_level_target,source_evidence,geometry_to_capture,clearance_checks,release_gate,status
J40-RT-001,vehicle_basis,drive_and_drivetrain_orientation,yes,L2,actual_truck_photos_and_direct_measurement,engine_gearbox_transfer_steering_axle_orientation_and_output_positions,fan_radiator_prop_shaft_steering_and_body_clearance,verified_against_actual_as_fitted_truck,scope_added_needs_capture
J40-RT-002,electrical_power,battery_positive_to_cutoff,yes,L3,May_17_battery_power_carrier_photos_and_component_dimensions,cable_centerline_lug_clocks_grommet_or_guard_and_cutoff_entry_exit_sweeps,bonnet_battery_radiator_fan_steering_and_sharp_edge_clearance,dry_fit_with_lugs_and_cutoff_body_before_final_wrap,scope_added_needs_measurement
J40-RT-003,electrical_power,cutoff_output_to_relay_box_feed,yes,L3,battery_power_carrier_and_relay_rev_d_spec,cable_sweep_from_cutoff_output_to_relay_top_input_hole_with_support_points,relay_lid_service_sweep_battery_liftout_and_chafe_clearance,relay_box_installed_with cable_lug_clocking_confirmed,scope_added_needs_measurement
J40-RT-004,electrical_power,cutoff_output_to_midi_common_feed,yes,L3,midi5_enclosure_rev_d_and_battery_power_carrier_spec,cable_sweep_to_second_from_last_midi_holder_input_and_grommet_size,lid_hinge_clearance_output_fanout_and_bend_radius,midi_enclosure_grommet_and_holder_spacing_dry_fit_complete,scope_added_needs_measurement
J40-RT-005,electrical_power,midi_five_output_fanout,yes,L3,midi5_enclosure_rev_d_spec,five_output_centerlines_output_hole_sizes_bundle_diameters_and_clip_points,lid_close_bend_radius_heat_chafe_and_service_pull_clearance,all_five_output_destinations_named_and_fused,scope_added_needs_capture
J40-RT-006,electrical_power,battery_negative_engine_chassis_body_grounds,yes,L3,engine_bay_and_chassis_ground_refresh_jobs,earth_strap_centerlines_lug_faces_bolt_points_and_clean_contact_zones,exhaust_heat_engine_movement_paint_coating_and_service_clearance,continuity_test_and_contact_face_release_before_coating,scope_added_needs_capture
J40-RT-007,starter_charging,starter_main_and_solenoid_trigger,yes,L2,engine_powertrain_cleaning_and_electrical_input_photos,starter_cable_path_trigger_wire_path_lug_orientation_and_support_points,exhaust_heat_clutch_linkage_steering_and_engine_movement_clearance,continuity_and_cranking_load_test_after_routing,scope_added_needs_capture
J40-RT-008,starter_charging,alternator_charge_regulator_branch,yes,L2,engine_bay_photos_and_alternator_position,alternator_B_plus_sense_exciter_regulator_branch_and_clip_locations,belt_pulley_fan_heat_and_vibration_clearance,charging_test_and_no_chafe_before_wrap,scope_added_needs_capture
J40-RT-009,engine_controls,engine_sender_injection_pump_branch,yes,L2,May_17_engine_electrical_input_reconciliation,oil_temp_fuel_stop_idle_up_unknown_connector_and_sender_branch_routes,throttle_linkage_fuel_lines_heat_and_service_clearance,each_connector_identified_and_continuity_tested,scope_added_needs_capture
J40-RT-010,front_lighting,headlamp_marker_horn_aux_lamp_branch,yes,L2,front_panel_lighting_and_grille_photos,loom_centerline_to_headlamps_indicators_horn_aux_lamps_and_earths,grille_removal_radiator_condenser_fan_and sharp_edge_clearance,front_panel_dry_fit_with_lamp_harness_clips,scope_added_needs_capture
J40-RT-011,ac_electrical,compressor_clutch_pressure_switch_condenser_fan_branch,yes,L3,front_cooling_stack_delivery_spec_and_compressor_photo,compressor_clutch_feed_pressure_switch_fan_relay_output_and_earth_routes,belt_pulley_condenser_fan_radiator_heat_and_service_clearance,pressure_switch_and_fan_relay_logic_verified_before_charge,scope_added_needs_capture
J40-RT-012,cabin_hvac,under_dash_evaporator_blower_controls_feed,yes,L2,evaporator_blower_sourcing_and_dash_stripdown_photos,blower_feed_control_panel_thermostat_sensor_and_drain_hose_paths,pedal_column_dash_service_and_condensate_fall_clearance,evaporator_mocked_under_dash_with_drain_exit_confirmed,scope_added_needs_capture
J40-RT-013,bulkhead,firewall_main_pass_throughs,yes,L3,firewall_and_dash_wiring_photos,all_holes_grommets_bulkheads_pass_throughs_and_edge_protection,water_ingress_heat_pedal_column_and_service_clearance,every_pass_through_named_before_final_paint_or_seal,scope_added_needs_capture
J40-RT-014,rear_body,rear_body_tail_fuel_sender_loom,yes,L2,photo_inventory_and_rear_body_fuel_sender_scope,rear_lamp_number_plate_fuel_sender_and_body_to_chassis_flex_paths,suspension_tank_exhaust_body_lift_and_chafe_clearance,tail_lamp_and_sender_continuity_test_after_route_capture,scope_added_needs_capture
J40-RT-015,brake_hydraulic,front_brake_hard_lines_and_flex_hoses,yes,L3,brake_hydraulic_refresh_and_front_disc_photo_evidence,master_proportioning_front_hard_lines_flex_hose_clips_and_caliper_entry,steering_lock_suspension_travel_tire_exhaust_and_chafe_clearance,pressure_bleed_and_full_lock_clearance_before road_test,scope_added_needs_measurement
J40-RT-016,brake_hydraulic,rear_axle_hard_lines_center_flex_and_wheel_cylinder_lines,yes,L3,rear_brake_drum_baseline_and_rear_cable_line_refresh,rear_T_center_flex_axle_hard_lines_wheel_cylinder_entries_and_clip_points,axle_articulation_spring_U_bolt_tire_and_exhaust_clearance,pressure_test_and_suspension_sweep_before coating_closeout,scope_added_needs_measurement
J40-RT-017,parking_brake,parking_brake_cables_equalizer_and_clips,yes,L3,rear_parking_brake_attachment_hardware_and_drum_photos,lever_to_equalizer_cable_centerlines_clevises_springs_frame_and_axle_clips,suspension_travel_exhaust_prop_shaft_and_shackle_clearance,parking_brake_adjustment_and_sweep_test_complete,scope_added_needs_measurement
J40-RT-018,fuel_system,fuel_supply_return_leakoff_and_sender_routes,yes,L2,fuel_system_and_chassis_underside_photos,supply_return_leakoff_sender_wire_tank_pickup_filter_and_clip_paths,exhaust_heat_suspension_body_mount_and_service_clearance,leak_test_and_filter_service_access_confirmed,scope_added_needs_capture
J40-RT-019,fuel_system,filler_neck_vent_and_tank_access,yes,L2,Toyota_parts_reference_and_project_fuel_tank_scope,filler_neck_vent_hoses_clamps_body_passages_and tank_access_sweep,body_mount_exhaust_tire_and_chafe_clearance,filler_and_vent_dry_fit_before_body_closeout,scope_added_needs_capture
J40-RT-020,ac_refrigerant,compressor_discharge_to_condenser,yes,L3,front_cooling_stack_spec_and_compressor_port_check,barrier_hose_centerline_fitting_angle_port_style_service_loop_and_clamp_points,belt_fan_exhaust_radiator_and_bonnet_clearance,compressor_port_style_and_crimp_clocking_confirmed,scope_added_needs_measurement
J40-RT-021,ac_refrigerant,condenser_to_receiver_drier_liquid_line,yes,L3,front_cooling_stack_frame_spec,liquid_line_centerline_drier_bracket_pressure_switch_and_service_access,fan_blade_grille_radiator_edge_and_vibration_clearance,drier_and_pressure_switch_mount_dry_fit_complete,scope_added_needs_measurement
J40-RT-022,ac_refrigerant,drier_to_evaporator_and_evaporator_suction_to_compressor,yes,L3,under_dash_evaporator_selection_and_front_cooling_stack_spec,two_firewall_passages_hose_sizes_fitting_angles_bulkhead_or_grommet_locations,pedal_column_engine_heat_exhaust_bonnet_and_service_clearance,evaporator_and_compressor_fittings_identified_before hose_crimp,scope_added_needs_capture
J40-RT-023,cooling_system,radiator_heater_overflow_and_bypass_hoses,yes,L2,cooling_pipe_fabrication_samples_and_radiator_condition_photos,radiator_hoses_heater_hoses_overflow_bottle_route_bends_clamps_and_bead_ends,fan_belt_hood_radiator_support_AC_condenser_and_heat_clearance,pressure_test_and_fan_clearance_before coolant_fill,scope_added_needs_measurement
J40-RT-024,control_cables,throttle_choke_fuel_stop_and_heater_control_cables,yes,L2,dash_engine_bay_and_control_cable_photos,cable_centerlines_bulkhead_points_end_fittings_brackets_and_sweep_envelopes,pedal_linkage_manifold_heat_steering_column_and_service_clearance,full_travel_test_without_binding_or_chafe,scope_added_needs_capture
J40-RT-025,instruments,speedometer_cable_and_transfer_gear_route,yes,L2,gearbox_top_cover_and_drivetrain_service_scope,cable_route_from_cluster_to_transmission_or_transfer_drive_with_clips,exhaust_heat_prop_shaft_body_floor_and_bend_radius_clearance,cluster_and_gearbox_connection_verified_before_floor_closeout,scope_added_needs_capture
J40-RT-026,drains,evaporator_condensate_and_body_drain_routes,yes,L2,under_dash_evaporator_and_floor_pan_photos,drain_centerlines_fall_direction_exit_points_and_grommets,exhaust_heat_floor_edge_pedal_and_water_backflow_clearance,water_pour_test_confirms_drain_outside_cabin,scope_added_needs_capture
J40-RT-027,exhaust,exhaust_route_and_hanger_clearance,yes,L2,exhaust_mockup_brackets_and_chassis_photos,downpipe_muffler_tailpipe_hangers_heat_shields_and_service_gap,brake_fuel_AC_electrical_suspension_and_body_clearance,exhaust_hangers_released_before_coating_and_line_closeout,scope_added_needs_capture
