sheet_name,classification,max_row,max_column,nonempty_rows,nonempty_cells,header_row,header_count,structured_data_rows,key_headers,recommended_cleanup
Work,mixed_reference,29,4,22,67,1,4,21,Type | Part | Info | Reason,Review manually and split mixed content into structured table plus notes.
Bodywork,status_tracking,31,6,31,99,1,6,30,Category | Part | Sent | Received | Work Type | Notes,Unify sent/received/paid/status tokens and add explicit date+owner columns.
Tools,cost_tracker,57,7,48,308,1,7,47,Item | Price | Vendor | Received | Paid | Reconciled_Status | Reconciled_Note,"Normalize headers and status values, split notes from price fields, then merge into expenses/procurement ledgers."
Parts,cost_tracker,234,29,233,5241,1,29,232,Item | Price | Vendor | Received | Paid | Plan_Timing | Plan_Decision | Inventory_Group,"Normalize headers and status values, split notes from price fields, then merge into expenses/procurement ledgers."
Fabrication,notes_checklist,13,2,9,10,0,0,0,,Keep as notes but add explicit section headers and remove empty spacer rows.
Electrical Templates,mixed_reference,20,14,6,6,0,0,0,,Review manually and split mixed content into structured table plus notes.
Master_Costs,mixed_reference,48,3,42,94,2,2,40,Generated | 2026-04-15 05:40:43,Review manually and split mixed content into structured table plus notes.
Build_Plan,mixed_reference,38,8,38,304,1,8,37,record_type | id | title_or_item | lane_or_workstream | state_or_decision | timing_or_depends_on | action_or_gate | notes,Review manually and split mixed content into structured table plus notes.
Engine_Transmission_Comparison,mixed_reference,91,14,80,545,9,7,72,Scenario Group | Option | Base Build Cost | Transmission Delta | Total Build Cost | Confidence | Notes,Review manually and split mixed content into structured table plus notes.
Tub_Off_Refit_Plan,mechanical_spec,13,8,12,77,9,8,4,"TO4 | mechanical | Tub-off engine-bay access inspection and service list lock | TO2 | Inspect mounts, lines, hoses, clamps, shift linkage/top service items. | Service parts bundle + condition-based items | Buy only confirmed-failed items for condition-based components. | Inspection report with buy/no-buy per line item.",Use explicit component/part/quantity/details headers and isolate options vs selected parts.
Electrical_Master,electrical_spec,77,9,71,431,8,9,64,"A | Connectors | Deutsch connectors fitted at power-bay and loom interfaces (X1, X2, X3, X4, X5, X6, X7, X8, X10) | Done | Yes | Connector system installed and mapped to loom IDs. | Pin-by-pin continuity + retention pull check. | Post-weld validation","Standardize column headers, isolate narrative rows, and keep spec rows in one normalized table per tab."
Hardware_Budget_Dedup,cost_tracker,37,10,37,361,1,10,36,Item | Qty | Source_Rows | Expected_Price | Price_Min_PKR | Price_Max_PKR | Price_Mid_PKR | Parts_Tab_Procured,"Normalize headers and status values, split notes from price fields, then merge into expenses/procurement ledgers."
Rubbers_Exact_Online,cost_tracker,24,12,24,244,1,11,23,Item_Group | Covers_Parts_Rows | Required_For_Current_Build | Duplicate_Reconciled_From | Current_Procurement_Status | Price_Range_PKR | Medium_PKR | Online_Primary,"Normalize headers and status values, split notes from price fields, then merge into expenses/procurement ledgers."
Rubbers_Kit_Buy,mixed_reference,16,9,15,111,1,9,14,Kit_Name | Includes_Rubbers_From_Rubbers_Exact_Online | Phase | Est_PKR_Medium | Typical_Online_Listed_Price | Online_Option_1 | Online_Option_2 | Fitment_Check,Review manually and split mixed content into structured table plus notes.
Rubbers_All_Replace_Links,mixed_reference,23,7,23,155,1,7,22,Item_Group | Medium_PKR | Pakistan_Source_Notes | Pakistan_Link_1 | Pakistan_Link_2 | Replace_All | Pakistan_Buy_Note,Review manually and split mixed content into structured table plus notes.
PK_Quality_Path,mixed_reference,18,12,18,194,1,12,17,System | Item | Spec/Decision Locked | Buy Mode | Priority | Min_PKR | Max_PKR | Mid_PKR,Review manually and split mixed content into structured table plus notes.
PK_Buy_Clean_Direct,cost_tracker,18,12,18,183,1,12,17,System | Item | Qty | Priority | Stage | Price_Min_PKR | Price_Max_PKR | Target_PKR,"Normalize headers and status values, split notes from price fields, then merge into expenses/procurement ledgers."
