priority,bom_id,linked_route_ids,system,exact_part_to_buy_pakistan,qty,preferred_source,backup_source,source_url,buy_status,buy_instruction,proof_before_payment,reject_if,model_use
P0,PK-RTE-RAD-001,J40-RT-023,cooling_system,HJ47 2H radiator built or recored from old sample with same necks cap overflow drain and corrected two-side mounts,1,Master Radiators Lahore,KorTech Radiator,https://www.masterradiators.com/|https://www.kortechradiator.com/,buy_after_sample_on_counter,Ask for custom J40 HJ47 2H radiator from old sample with pressure and flow test,Old and new radiator side-by-side photos|overall and core dimensions|neck OD and side|cap drain overflow and mount tabs|pressure test,Model-name radiator only|wrong necks|one-sided bad support copied|no pressure test,Radiator and cooling hose route datum
P0,PK-RTE-STEEL-001,J40-RT-028|J40-RT-023|J40-RT-020|J40-RT-021,routing_supports,50 x 50 x 4 mm mild-steel angle plus 3 to 4 mm mild-steel tab and gusset plate,6 m angle plus 500 x 500 mm plate,Local loha market or fabricator stock,Existing fabricator stock,,buy_now_for_mockup,Buy straight weldable mild steel for two full-height uprights condenser tabs fan hoop drier clamp and route support tabs,Tape or caliper proof of 4 mm wall|straight clean stock|enough length for both uprights,2 mm angle|aluminium angle|twisted stock|deep rust pits|sealed rust traps,Physical support structure for radiator condenser drier fan and clips
P0,PK-RTE-COND-001,J40-RT-020|J40-RT-021,ac_refrigerant,Universal parallel-flow A/C condenser 14 x 23 inch overall with about 14 x 22 inch core 20 to 26 mm depth and #6 #8 male O-ring fittings,1,Snow Cool or Arsalan Autos or local A/C market,Universal classified condenser only after pressure test,https://snow-cool.com/|https://arsalanautos.com/,buy_after_tape_photos,Ask for universal parallel-flow R134a condenser not vehicle-name-only condenser,Tape photos width height depth|port side|#6 #8 O-ring fittings|bracket tabs|pressure test or leak proof,Tube-fin unknown type|bent oily used unit|too wide or tall|through-fin mounting only,Forward condenser placeholder and A/C high-side route
P1,PK-RTE-FAN-001,J40-RT-011|J40-RT-027,ac_electrical,Slim 12V pusher condenser fan assembly 12 to 14 inch with blade shroud and mount feet,1,Snow Cool or Cool Sun or Arsalan Autos,Local A/C fan supplier,https://snow-cool.com/|https://arsalanautos.com/,buy_after_condenser_size_locked,Buy after condenser is selected and front depth is measured,Diameter depth current draw|pusher direction proof|mount foot layout|grille and bonnet clearance,Motor-only part|puller-only fan|unknown current draw|through-fin ties,Condenser fan and front clearance route
P1,PK-RTE-DRIER-001,J40-RT-021,ac_refrigerant,R134a receiver-drier with 3/8 O-ring ports switch port sealed caps and vertical clamp; Snow Cool 3-8 Oring Drier if ports match,1,Snow Cool,Arsalan Autos,https://snow-cool.com/product-category/evaporators/?filter_product_cat=83%2C86%2C15%2C85%2C94%2C92%2C93&orderby=menu_order|https://arsalanautos.com/,buy_with_condenser_ports,Buy sealed fresh drier matched to selected condenser liquid line and pressure switch,Sealed caps|flow arrow|port thread|switch port thread|clamp diameter,Open unsealed drier|flare and O-ring mismatch|no switch provision unless separate switch block is bought,Drier and liquid-line model item
P1,PK-RTE-SWITCH-001,J40-RT-011|J40-RT-021,ac_electrical,Binary or trinary A/C pressure switch matched to drier or high-side service block with pigtail,1,Arsalan Autos or Snow Cool or local A/C electrical counter,Cool Sun/local A/C shop,https://arsalanautos.com/|https://snow-cool.com/,buy_with_drier,Buy switch only after drier or switch-block thread is known,Thread match|normally-open normally-closed logic|cutout pressures|connector pigtail,Unknown thread|unknown logic|compressor clutch can run without pressure protection,A/C clutch and condenser fan control route
P1,PK-RTE-AC-HOSE-001,J40-RT-020|J40-RT-021|J40-RT-022,ac_refrigerant,R134a barrier hose and fitting set: #6 liquid hose 3 m #8 discharge hose 1.5 m #10 suction hose 2 m O-ring crimp fittings ferrules service ports and HNBR O-rings,1 set,Arsalan Autos or Cool Sun or Snow Cool A/C hose shop,Sanpak Engineering Industries quality fallback,https://arsalanautos.com/|https://snow-cool.com/|https://www.sanpak.biz/,crimp_after_dry_fit,Do not crimp until compressor condenser drier evaporator and firewall positions are fixed,Compressor head ports|condenser ports|drier ports|TXV ports|hose routing photos|nitrogen leak check,Hydraulic hose|fuel hose|wrong fitting standard|crimped before dry-fit|rubs belt fan exhaust or sharp edge,A/C high and low hose routes
P1,PK-RTE-AC-FIREWALL-001,J40-RT-013|J40-RT-022,bulkhead,A/C firewall pass-through kit for #6 liquid and #10 suction routes using matched bulkhead fittings or thick EPDM grommets and abrasion sleeves,1 set,Local A/C hose shop or rubber supplier,Longman or local grommet supplier,https://www.longman.com.pk/automobile-parts/,buy_after_hose_OD_known,Buy after final hose OD and firewall hole locations are marked,Hose OD|panel thickness|hole OD|grommet ID and groove|sealant plan,Loose hole with no grommet|edge rub|water leak path|hose forced through sharp sheet metal,Firewall A/C hose route and service pass-through
P2,PK-RTE-COMP-OIL-001,J40-RT-020,ac_refrigerant,Sanden SP-10 or ND8 compressor oil plus R134a charge service by A/C shop only after oil and leak plan is known,250 ml oil plus service charge,Arsalan Autos,A/C service shop,https://arsalanautos.com/product/compressor-oil-sp-10-sanden/,buy_after_compressor_gate,Buy only after installed compressor clutch voltage port head and oil state are checked,Compressor label|12V clutch|port leak test|oil type decision|vacuum hold,Wrong oil|charging contaminated system|charging without drier and pressure switch,Compressor service data for A/C loop
P0,PK-RTE-EVAP-001,J40-RT-012|J40-RT-022|J40-RT-026,cabin_hvac,12V under-dash evaporator blower unit with TXV drain nipple and usable outlet face; Hang on 228 12V is local fallback if purchased unit fails,1,Already purchased unit first,Arsalan Autos or Snow Cool 228 Hangon,https://arsalanautos.com/|https://snow-cool.com/product-category/evaporators/?filter_product_cat=83%2C86%2C15%2C85%2C94%2C92%2C93&orderby=menu_order,stock_check_then_buy_fallback,Do not duplicate-buy unless current under-dash unit fails mock-up,Case width height depth|drain nipple|TXV fittings|blower current|mount tabs|under-dash cardboard mock-up,No drain route|fittings hit firewall|unsealed airflow|too bulky for cabin design,Under-dash evaporator and drain route
