id,category,dimension_mm,status,tolerance_or_limit,fabricator_instruction
ICP-001,structural_upright_height,410,measured_existing_basis,"verify duplicated side ±2","Mirror the existing upright; vehicle alignment controls"
ICP-002,structural_upright_face,48,measured_existing_basis,"48-50 acceptable","Use 4 mm mild steel formed angle"
ICP-003,top_return,58,measured_existing_basis,"match existing","Transfer hole only after dry-fit"
ICP-004,chassis_bridge,70,measured_existing_basis,"verify actual rail","Do not close weld until saddle/rail fit is proven"
ICP-005,outer_saddle_leg,80,measured_existing_basis,"match existing","Duplicate as handed part"
ICP-006,radiator_core_width,530,design_target,"540 only if M1 >=550","HJ47/2H high-efficiency four-row pattern"
ICP-007,radiator_core_height,435,design_target,"overall height must pass M2","Copy old sample necks/cap/drain"
ICP-008,radiator_core_depth,64,design_target,"60-64","Set radiator plane from engine-fan clearance"
ICP-009,radiator_neck_od,38,design_target,"verify engine hose barbs","Transfer side/angle from vehicle mock-up"
ICP-010,condenser_body_width,559,design_target,"absolute max 600","Standard replaceable 14 x 22 parallel-flow R134a"
ICP-011,condenser_body_height,356,design_target,"absolute max 370","Side manifolds vertical"
ICP-012,condenser_depth,21,design_target,"absolute max 25","Confirm fittings and seam projection"
ICP-013,intercooler_core_width,500,design_target,"450 min; 520 max","Custom aluminium bar-and-plate"
ICP-014,intercooler_core_height,180,design_target,"160 min; 200 max","Place in lower frontal band"
ICP-015,intercooler_core_depth,60,design_target,"50 min; 65 max","Change only after M4 measurement"
ICP-016,intercooler_outlet_od,57,design_target,"2.25 inch nominal","Bead both outlet ends"
ICP-017,intercooler_test_pressure,20,design_target,"psi; subject to core maker rating","Submerged or leak-solution pressure test"
ICP-018,radiator_to_condenser_gap,15,design_target,"10 absolute minimum","Measure closest fin/tank point"
ICP-019,condenser_to_intercooler_gap,10,design_target,"10 minimum","No rubbing under vibration"
ICP-020,lower_band_stack_depth,170,derived_nominal,"allow 180-190 installed","60 IC + 10 gap + 21 condenser + 15 gap + 64 radiator"
ICP-021,pusher_fan_diameter,305,design_target,"330 overall maximum","12 inch slim pusher in upper band"
ICP-022,pusher_fan_depth,65,maximum_target,"actual part controls","Keep principally above intercooler band"
ICP-023,component_side_clearance,5,minimum,"each side","No core tank/manifold contact with upright"
ICP-024,fan_tip_static_clearance,20,minimum,"25-30 preferred","Check every blade and engine movement"
ICP-025,adapter_tab_width,50,cut_dimension,"±1","4 mm mild steel"
ICP-026,adapter_tab_height,70,cut_dimension,"±1","Four pieces; trim only after mock-up"
ICP-027,adapter_slot,9x20,cut_dimension,"vertical","For M8 class 8.8 mounting bolt"
ICP-028,adapter_max_flat_offset,20,maximum,"box spacer above this","Do not cantilever components on long flat tabs"
M1,site_measurement,OPEN,mandatory,"minimum top/middle/bottom clear width","Release core widths only after record"
M2,site_measurement,OPEN,mandatory,"clear vertical opening","Include bonnet/latch and actual overall radiator"
M3,site_measurement,OPEN,mandatory,"grille to radiator plane upper/lower","Controls fan and stack"
M4,site_measurement,OPEN,mandatory,"lower-band usable depth","Need 180 minimum plus tolerance"
M5,site_measurement,OPEN,mandatory,"rear radiator face to closest fan tip","Need 20 minimum; 25-30 preferred"
M6,site_measurement,OPEN,mandatory,"intercooler edge above protection line","Need 25 minimum"
M7,site_measurement,OPEN,mandatory,"four adapter offsets","0-20 simple tab; box above 20"
