evidence_id,photo,observed_evidence,numeric_use,confidence,design_effect,release_effect
E33-01,photos/20260802_120220_gp_jD9H5Nag.jpg,"Tape crosses separate upper-panel levels; neither controlled endpoint is in frame",none,low,"No coordinate change",M1 remains open
E33-02,photos/20260802_121251_gp_14I3gJyw.jpg,"Vertical tape at outer dashboard end; start and terminal datum are not both shown",none,low,"Preserve original side/end return for direct trace",M1 remains open
E33-03,photos/20260802_121315_gp_imxd3umw.jpg,"Clear original asymmetric glovebox/placard-panel appearance and local adjacent structure",shape_reference_only,high,"OEM glovebox remains TRACE-LOCK; do not replace with a generic rectangle",M2 remains open
E33-04,photos/20260802_121320_gp_sziiQLMg.jpg,"Glovebox/placard and adjacent holes shown close-up",shape_reference_only,high,"Reinforces exact OEM-shape retention and ashtray separation",M2 remains open
E33-05,photos/20260802_121335_gp_BTJcCLzQ.jpg,"Tape appears to span roughly 0–390 mm over the complete outer/end shell",photo_estimate_not_CAD,low_to_moderate,"Treat as deep outer-return evidence; never substitute for visible fascia height",M1 remains open
E33-06,photos/20260802_121347_gp_k2Hr70aQ.jpg,"Horizontal tape across outer/end shell with approximately 250–260 mm visible",photo_estimate_not_CAD,low,"Corroborates local structure only; no global width/depth coordinate",M1 remains open
E33-07,photos/20260802_121357_gp_54c9qu2A.jpg,"Outer/end shell mounting and return geometry",shape_reference_only,high,"Trace the complete end return and attachment structure",M1 remains open
E33-08,photos/20260802_121421_gp_gT43YL0w.jpg,"Behind-dashboard brackets, linkage, beam and wiring are visible",clearance_reference_only,high,"Mandatory full-depth buck; no rear package may be assumed clear",M1/M3/M5/M6/M7/M8/M9 remain open
E33-09,photos/20260802_122402_gp_4BGhxe7A.jpg,"Local transition appears near 310–315 mm on the tape; zero and paired datum absent",photo_estimate_not_CAD,low,"Context only; no coordinate change",M1 remains open
E33-10,photos/20260802_122414_gp_Fp9lcwMw.jpg,"Oblique tape through rear cavity reaches roughly the 200 mm scale region",none,low,"Confirms rear-space risk but is not a valid perpendicular depth",M5/M7/M8/M9 remain open
E33-11,photos/20260802_122442_gp_APOfsZEg.jpg,"Tape and rear bracket shown around the 200 mm scale region without paired datums",none,low,"Record obstruction in the full-depth mock-up",M1/M3/M9 remain open
E33-12,photos/20260802_122452_gp_AHwC1qEQ.jpg,"Local passenger-side/front region visually corroborates approximately 250–260 mm, but boundaries and installed orientation are not controlled",photo_estimate_not_CAD,moderate,"Supports the plausibility of the 250 mm quotation envelope only",M1 remains open
