priority,component,current_status,qty_scope,where_it_sits,online_lahore_pakistan_options,links,release_gate,next_action,do_not_buy_if,notes
P0,Front flexible brake hoses,outstanding_spec_controlled,2 lower plus 1 upper/frame hose if fitted,BR-FRONT-004,First quote by old hose samples at Montgomery Road/Fine Auto/NDE; use SNA as Pakistan brake hose/pipe manufacturer lead; PakWheels/Daraz only as search/price anchors,https://snaindustries.com/|https://www.ndestore.com/|https://fineauto.pk/landcruiser/|https://www.pakwheels.com/accessories-spare-parts/search/-/q_brake+hose+toyota+land+cruiser/,"Complete crimped brake hose assembly, DOT/SAE J1401 or OEM-equivalent, exact free length, bracket groove, end thread/seat or banjo style, and full-lock/droop clearance","Remove or label old hoses and photograph chassis bracket, caliper end, retaining clip, free length, and steering lock/droop route before payment","Generic rubber hose, loose hose stock, reused hose, unmatched end fittings, or seller changes to route/fittings",These are the parts that allow axle/steering movement. They attach at fixed frame/axle/caliper brackets with U/retaining clips; hard lines stop at the bracket and flexible hose spans the moving section.
P0,Rear center flexible brake hose,outstanding_spec_controlled,1 rear frame-to-axle drop,BR-REAR-003,Same route as front hoses: old sample to Montgomery Road/Fine Auto/NDE first; SNA brake hose lead for Pakistan quote; online marketplace search only after sample,https://snaindustries.com/|https://www.ndestore.com/|https://fineauto.pk/landcruiser/|https://www.pakwheels.com/accessories-spare-parts/search/-/q_brake+hose+toyota+land+cruiser/,"Complete crimped brake hose assembly, exact chassis-side and axle/T-union end style, bracket groove/clip, free length, and axle droop clearance",Drain/cap hydraulics only when replacement route is ready; photograph both ends and keep the old hose labelled as sample,"Any hose that stretches at axle droop, twists, rubs tyre/exhaust/shock/leaf spring, or lacks brake hydraulic rating",This is the key suspension-movement hose on the rear axle.
P0,Brake flare nuts and hard-line fittings,buy_spare_set_anyway_sample_match_required,full vehicle plus spare practice fittings,BHL-PART-002,Buy a brake-rated 3/16 flare tube-nut set anyway. Still count/sample-match Altivox kit fittings; use Montgomery Road/Fine Auto/NDE/SNA or online search links for spare steel tube nuts after old thread/seat is known.,https://www.daraz.pk/catalog/?q=brake+line+fitting+3%2F16|https://www.daraz.pk/catalog/?q=brake+pipe+nut|https://www.ebay.com/sch/i.html?_nkw=M10x1+3%2F16+brake+line+tube+nuts|https://www.amazon.com/s?k=M10x1+3%2F16+brake+line+tube+nuts|https://snaindustries.com/|https://fineauto.pk/landcruiser/|https://www.ndestore.com/,"Old nut thread and opened port seat confirm double/inverted flare, likely 4.75 mm / 3/16 in tube, and exact M10/M12 pitch before installation","Buy spare brake-rated steel 3/16 flare tube nuts, then compare them and any Altivox fittings against old line-end fittings, thread/pitch, and seat before use.","Single-flare, ISO bubble-only, compression fittings, plumbing brass, unknown seat, wrong thread, guessed fit, or treating wheel cylinders as tube fittings","User requested buying flare tube nuts anyway. Likely Toyota-style M10x1 inverted/double-flare nuts, but final installation remains old-sample controlled; buy extras for practice and future service."
P0,Rear axle hard brake lines,tube_received_candidate_fittings_unconfirmed,2 axle tubes plus center union/tee if needed,BR-REAR-002 and BHL-PART-001/BHL-PART-003,Do not buy duplicate tube until the arrived copper-coloured coil is checked; local brake pipe shop or SNA-style fabricated steel pipe lead remains fallback if the tube or flares fail,https://snaindustries.com/|https://www.daraz.pk/catalog/?q=brake+line+3%2F16,"Brake-rated 4.75 mm / 3/16 in coated steel or CuNi/Cunifer tube, clean 45-degree double/inverted flares, old-sample-matched fittings, original route and clip positions preserved","Photograph tube label/printing, measure OD, confirm any included flare nuts/fittings, reject bare/plumbing copper, then make 5 practice flares on scrap before vehicle fabrication","Bare copper/plumbing tube, refrigeration tube, compression unions, kinked bends, unsupported spans, or route changes to suit stocked tees","User update 2026-06-18 says the copper tubing came. User then clarified the pictured wheel-entry part is the rear wheel cylinder, so hard-line fittings remain unconfirmed until the tube kit contents and old-sample thread/seat match."
P0,Front disc pad axle set,outstanding_sample_match,1 axle set,BR-FRONT-001,Autostore has Land Cruiser pad listings for Pakistan delivery; PakWheels search and Fine Auto/Montgomery Road are quote routes; do not buy by year alone,https://www.autostore.pk/shop/car-parts/toyota-land-cruiser-front-disc-brake-pads/|https://www.autostore.pk/shop/car-parts/brake-discs-pads/toyota-land-cruiser-old-genuine-disk-pad/|https://www.pakwheels.com/accessories-spare-parts/search/-/q_land+cruiser+front+brake+pads/|https://fineauto.pk/landcruiser/,"Pad shape, backing-plate ears, thickness, retaining pin holes, and Sumitomo fixed-caliper family match the fitted front disc conversion",Pull or photograph one pad set with ruler and caliper casting marks before payment,"Pads for later 80/100/Prado/Hilux family without shape match, used pads, or incomplete hardware","Autostore PKR 6600 and PKR 17200 listings are leads/price anchors, not automatic release."
P0,Front pad retaining pins springs and clips,outstanding_sample_match,4 pins plus 2 anti-rattle springs plus 2 pin clips,BR-FRONT-001,Montgomery Road/Fine Auto first with old hardware; imported reference rows already in front_disc_component_order_options.csv; PakWheels search can be used for local leads,https://fineauto.pk/landcruiser/|https://www.pakwheels.com/accessories-spare-parts/search/-/q_land+cruiser+front+brake+pads/,"Pin length/diameter, clip groove, spring shape, pad hole style, and Sumitomo caliper bridge geometry match",Remove/photograph existing pins and springs; buy a complete hardware set only after match,"Generic split pins, reused rusty springs, wrong pin length/diameter, missing anti-rattle springs",Do not assume the pad box includes hardware.
P0,Front Sumitomo calipers,outstanding_rebuild_or_replace,matched LH/RH pair,BR-FRONT-002,Local caliper rebuild shop via Montgomery Road/Fine Auto/Kanchi/Bilal Ganj route; online leads are quote-only unless casting/piston family matches,https://fineauto.pk/landcruiser/|https://www.pakwheels.com/accessories-spare-parts/search/-/q_land+cruiser+brake+caliper/,"Cleaned casting marks, side orientation, piston count/diameter, inlet/bleeder/bridge pipe details, and rotor family match; rebuild must include new seals/boots and pressure test",Clean and photograph casting marks and bridge pipes; price rebuild vs matched replacement pair,"Untested used calipers fitted as-is, seized bleed screws, pitted pistons/bores, unmatched sides, or no pressure test",Existing calipers are cores/samples unless professionally rebuilt and tested.
P0,Front rotors,outstanding_measure_before_payment,2,BR-FRONT-003,Fine Auto/Montgomery Road quote by measurements; Autostore/pak marketplace only as price leads because fitted hub/caliper conversion controls,https://fineauto.pk/landcruiser/,"Rotor OD, thickness/min thickness, height/offset, center bore, PCD, mounting holes, dust-shield and Sumitomo caliper clearance match",Measure old rotors during front brake teardown before payment,"Rotor for later Land Cruiser/Prado family without dimensional match, wrong offset/center bore/PCD, or machined below service limit",Reference family is 302 x 20 mm vented disc but old rotor measurements control final buy.
P0,Rear wheel cylinders,received_match_likely_final_teardown_check,actual count from teardown,BR-REAR-004,"If the arrived parts are the pictured wheel cylinders, do not buy duplicates; use PakWheels/Fine Auto/NDE/Montgomery Road only for missing or mismatched positions after old cylinder samples",https://www.pakwheels.com/accessories-spare-parts/search/-/q_land+cruiser+wheel+cylinder/|https://www.ndestore.com/|https://fineauto.pk/landcruiser/,"Actual cylinder count, side/position, bore, mounting bolt spacing, port thread/seat, pushrod end, boot shape, and bleed screw access match","User reports the received wheel cylinders seem to match exactly. Photograph/count all cylinders and packaging, then confirm count, side/position, bore, port thread/seat, pushrod, mount, boot, and bleed-screw access against the opened drums.","Generic rear wheel cylinder kit bought from catalog year alone, wrong port side/thread, wrong mounting pattern, or assuming one visible top cylinder covers all rear positions",Do not buy duplicates unless teardown finds a count/side/position mismatch or a damaged cylinder. User update 2026-06-19 moves these from generic candidate to likely match pending final teardown fit check.
P0,Brake booster servo,service_rebuild_route_selected_parallel,1,BR-SYS-003,Service/rebuild the removed old booster first; Fine Auto/Land Cruiser parts lead can quote exchange replacement only if the old booster cannot be rebuilt; require bench vacuum test,https://fineauto.pk/landcruiser/|https://www.pakwheels.com/accessories-spare-parts/search/-/q_land+cruiser+brake+booster/,"Diameter/depth, firewall studs, master-cylinder seat/depth, pushrod/clevis, check valve/grommet, vacuum nipple orientation, and vacuum hold test match",Send labelled removed booster photos/measurements; price old-booster service/rebuild first and direct-match exchange only as fallback,"Single/drum booster, later incompatible booster, raw untested used booster, welded/modified shell, no vacuum hold test, or unmatched pushrod depth",Old servo is the service/rebuild sample and parallel work item while rear brakes are the active focus.
P0,Master cylinder reservoir proportioning interface,partial_ordered_pending_fit_check,1 system,BR-SYS-001,PakWheels UFM-1041 master candidates are ordered but still unvalidated; local proportioning/reservoir seals/grommets need old-sample match,https://www.pakwheels.com/accessories-spare-parts/search/-/q_land+cruiser+master+cylinder/,"Bore, port thread/seat, reservoir layout, booster pushrod depth, seals/grommets, and front/rear brake balance plumbing match",Receipt-check ordered masters and compare to old master/booster before installation,"Random master with wrong bore/ports, old reservoir seals, or unverified proportioning valve changes",This remains a fit-check blocker even if the master arrives.
