channel,message_id,date_utc,category,subcategory,source,subject_or_ref,product_or_topic,part_number_or_code,amount_pkr,status,action_required,notes
email,19dccdc8060ff1e4,2026-04-27T02:54:53Z,project_update,order_quote_tracking,Aliexpress,Great taste! Looking for Relay Box 12V 10 Way Relay Block and 10 Way ATC...?,Take another look at what you liked ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=relay,aliexpress"
email,19dcd4fe9fa2eeee,2026-04-27T05:00:59Z,supplier_communication,post_purchase_feedback,Toolsmart.Pk,"Hi David, share your thoughts about Wadfow Auto-darkening welding helmet WWH3503","Let us know what you think about order #TM25240. ToolsMart.pk Trouble viewing email? Hi David, We fulfilled your order from our store ToolsMart.pk 13 days ago and would love to get your feedback. What",TM25240|WWH3503,0,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=welding,toolsmart,toolsmart.pk,feedback,order"
email,19dd86b5fbb89675,2026-04-29T08:46:46Z,supplier_communication,delivery_update,Daraz,Delivery of your Order 241938794080938,"Your parcel(s) have been delivered! Dear pridmoredave, We are excited to inform you that your Order 241938794080938 has been successfully delivered. As we&#39;d love to hear your thoughts on your new",241938794080938,0,delivered_or_received_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,delivered,delivery,order"
email,19ddcc60fed835a5,2026-04-30T05:04:20Z,supplier_communication,post_purchase_feedback,Toolsmart.Pk,"Hi David, share your thoughts about Total Welding leather gloves 16"" TSP15161","Let us know what you think about order #TM25240. ToolsMart.pk Trouble viewing email? Hi David, We fulfilled your order from our store ToolsMart.pk 16 days ago and would love to get your feedback. What",TM25240|TSP15161,0,feedback_requested,no,"Imported by Gmail MCP; reason=supplier_order_signal; hits=welding,toolsmart,toolsmart.pk,feedback,order"
email,19de060f62c307f7,2026-04-30T21:52:23Z,supplier_communication,shipment_update,Toolsmart.Pk,Order #TM25493 confirmed,"Thank you for your purchase! ToolsMart.pk Order #TM25493 ---------------------------- Thank you for your purchase! ---------------------------- Hi David, We have received your order. Your order is being processed, You will receive a confirmation call from our ",TM25493|CB1A-4E1D-9000-63214F79CFD7|AF07-45298E96FC1A|THT431242|WRS1550|HDBM08028|WHZ1D07|THJS0301,94510,shipment_tracking_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=rubber,toolsmart,toolsmart.pk,confirmation,confirmed,order,shipped"
email,19de403887352e2d,2026-05-01T14:48:47Z,project_update,order_quote_tracking,Aliexpress,Price drop on your carted items,US $28.01 off on 24-way New Energy Vehicle Control 16 Relay Box ... ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=project_order_signal; hits=relay,aliexpress"
email,19de62bcd140fa41,2026-05-02T00:52:01Z,supplier_communication,order_quote_tracking,Daraz,"Yay, your Order 242365766980938 is confirmed!","Yay, your order is confirmed! Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242365766980938 on 02 May 2026 08:50. We&#39;re excited for",242365766980938,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,order"
email,19de62bcd3dd7207,2026-05-02T00:52:01Z,supplier_communication,order_quote_tracking,Daraz,"Yay, your Order 242365766280938 is confirmed!","Yay, your order is confirmed! Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242365766280938 on 02 May 2026 08:50. We&#39;re excited for",242365766280938,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,order"
email,19de62bcdb1080ff,2026-05-02T00:52:01Z,supplier_communication,order_quote_tracking,Daraz,"Yay, your Order 242365766580938 is confirmed!","Yay, your order is confirmed! Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242365766580938 on 02 May 2026 08:50. We&#39;re excited for",242365766580938,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,order"
email,19de62bcddc3ff3a,2026-05-02T00:52:01Z,supplier_communication,order_quote_tracking,Daraz,"Yay, your Order 242365766080938 is confirmed!","Yay, your order is confirmed! Yay, your order is confirmed! Dear pridmoredave, Thank you for shopping with Daraz. We have received your Order 242365766080938 on 02 May 2026 08:50. We&#39;re excited for",242365766080938,0,order_or_project_signal,yes,"Imported by Gmail MCP; reason=supplier_order_signal; hits=daraz,confirmed,order"
