idea_id,title,category,workstream,status,source_chat,source_date,evidence_ref,contact_refs,summary,next_action
original_spec_islamabad_fj_restorations,1965 and 1973 Islamabad FJ restorations,other_build_reference,body_chassis,reference_to_follow,Fj40,2026-03-15,mcp_whatsapp_number_1_archive_fj40_00164|data/processed/generated/whatsapp_examples_media_2026-05-18.csv,nadir_rebuilder|hassan_contact_bridge,"Two FJs are being restored to original specs in Islamabad with an old body guy. Use as an original-spec benchmark for tub/chassis finish, chrome/cadmium hardware and bodywork sequencing.","Ask group for body-guy name, location, photos and whether contact can quote J40 work."
hamza_carnation_civic_cleanup,Carnation Civic engine bay and wiring cleanup,workmanship_reference,electrical_reset,reference_to_follow,Akbar Khan,2026-03-15,mcp_whatsapp_number_1_archive_akber_khan_00578|data/manual/other_build_reference_media.csv,hamza_carnation_car_mods|gk_hamza_carnation,"Akbar praised the Carnation work as a benchmark for wiring cleanup and engine bay finishing. Existing media is already curated under other-build references.","Use the reference media as a quality bar for loom cleanup, component finish and before/after documentation."
nadir_rebuilder_path,Nadir mechanical/body advice path,contact_idea,mechanical_baseline,active,Fj40,2026-03-12,mcp_whatsapp_number_1_archive_fj40_00010|mcp_whatsapp_number_1_archive_fj40_00011|mcp_whatsapp_number_1_archive_akber_khan_00419,hassan_contact_bridge|nadir_rebuilder,"Nadir is repeatedly recommended for under-hood review, J40 advice and possibly body/interior sourcing.","Get direct number and define whether he is an adviser, workshop, or sourcing lead."
vitz_yaris_eps_stack,2005-2011 Vitz/Yaris EPS donor stack,parts_idea,eps_vitz_upgrade,active,J40 parts,2026-04-17,mcp_whatsapp_number_2_true_120363428021017660_g_us_ac524b3be32ae7c614a137b19418cc6d_190950068514824_lid|mcp_whatsapp_number_2_false_120363428021017660_g_us_ac657f3d5ae4187db81572147ff40f99_40265368764638_lid,atif_eps_vitz,"New J40 parts group captured the active request for a complete Vitz steering column, EPS ECU/controller and uncut pigtails/connectors. Later note says 2005-2011 SCP90/NCP90 is needed and 2018 is too hard.","Keep EPS scout locked to complete donor stack with photos of ECU labels, pigtails, torque sensor and column mounts before payment."
vitz_manual_ac_donor,Vitz early-2000s manual A/C donor package,parts_idea,hvac,active,J40 parts,2026-04-17,mcp_whatsapp_number_2_true_120363428021017660_g_us_3b3bec638aa9a267eae8_190950068514824_lid,coolsun_primary|coolsun_secondary|atif_eps_vitz,"J40 parts group request lists the manual A/C cabin-side donor package: heater/evaporator box, evaporator, heater core, blower/fan cage, TXV, drain hose, resistor, ducts and intact plugs.","Use as the HVAC donor checklist; require donor photos and dimensions before committing to hidden evaporator packaging."
fj_audio_dash_9in_layout,9 inch screen and dash/audio layout,FJ_audio_reference,interior_controls,active,FJ Audio,2026-04-16,mcp_whatsapp_number_2_false_120363568028293786_g_us_3bf3062b32b16dfcc4b6_163157620326493_lid|mcp_whatsapp_number_2_true_120363568028293786_g_us_3b0da1cc2ff1ad3363a2_190950068514824_lid,,"FJ Audio group says a 9 inch Android screen can be installed if back support is handled. The dash plan centralizes the screen/AC and moves key selectors into the right dash cluster.","Capture final screen model, bezel size, mounting depth, heat/glare risk and back-bracket design before cutting the fascia."
schneider_selector_layout,Schneider selector switch control map,dash_control_idea,interior_controls,active,FJ Audio,2026-04-16,mcp_whatsapp_number_2_true_120363568028293786_g_us_3b17e672f39680758d24_190950068514824_lid,,"FJ Audio group captured the 7-selector plan: wipers, lights, spot lamps, aux, blower speed, A/C clutch, diesel fuel stop plus separate hazard button and OEM turn stalk.","Keep this as the switch allocation baseline until physical dash clearance and wiring loads are verified."
chassis_body_rubbers_longman,Longman chassis rubber and replacement pipe quote path,supplier_idea,chassis_rubbers,active,Uk David,2026-05-17,mcp_whatsapp_number_2_false_923099351940_c_us_3eb0833c3523deda32fae6,longman_automobile_parts,"Longman is already a candidate supplier in the dashboard for pipe_hose and rubber order sheets. State is quote/spec stage, not confirmed supply.","Send quote-ready lines only after measurement gates are closed; hold hydraulic items unless Longman confirms certified brake/clutch hose capability."
paint_body_material_system,Full body-prep materials sequence,process_idea,body_chassis,active,Akbar Khan,2026-03-17,mcp_whatsapp_number_1_archive_akber_khan_00800|mcp_whatsapp_number_1_archive_akber_khan_00817|mcp_whatsapp_number_2_true_923099351940_c_us_3b7dfcbbff82deea44c4,jamshaid_rustolium|autohub_montgomery_road,"Messages captured the full intended path: wax/grease remover, self-etch primer, epoxy primer, seam sealer, bed lining, sound dampening, foam and carpet. Later chat lists Happilac epoxy, U-Pol Acid #8, Autohub HB Body 999 and Carrera rust remover.","Keep material use gated by cleaned metal condition, product compatibility and recoat windows."
wheel_tyre_refresh_nazim,Nazim tyre and wheel refresh path,wheel_service_idea,brake_system,active,Akbar Khan,2026-05-08,mcp_whatsapp_number_2_false_923334552030_c_us_acd7b480625a47267715560eda045997,nazim_tyres_cavalry,"Nazim at Cavalry Grounds can remove tyres, inspect wheels/tyres, refresh rims, balance and return in about two days.","Ask Akbar for number, then photograph each wheel before send-out and tag valve/tyre condition."
brandreth_road_fabrication_materials,Brandreth Road fabrication material scout,market_idea,fabrication_handoff,active,Akbar Khan,2026-05-12,mcp_whatsapp_number_2_false_923334552030_c_us_ace049e01a6188e2c1cd1e194c97e449,brandreth_road_industrial_goods|umair_metal_business_contact,"Brandreth Road was flagged as a hub for industrial goods, steel, work benches and used workshop equipment. Useful for sheet metal, aluminium, bench/drill/vice support and fabrication consumables.","Scout with a measured shopping list for 3 mm aluminium, 1.2/1.6 mm sheet steel, 3 mm plate and insulating sheet."
interior_oe_upholstery_poshish,OE-near interior upholstery route,interior_idea,interior_controls,later,Akbar Khan,2026-03-15,mcp_whatsapp_number_1_archive_akber_khan_00432|data/raw/imports/akber_khan/00000127-Usman Roof Poshish 3M.vcf,usman_roof_poshish_3m|nadir_rebuilder,"Usman Roof Poshish 3M was recommended for total interiors, carpets and roofs. Nadir may also have upholstery sources and can help source side seats.","Use after body/paint/wiring dirty work is complete; ask for material samples and OE-style stitch/edge references."
coolsun_ac_diagnosis,Coolsun A/C diagnosis and hidden HVAC route,hvac_idea,mechanical_baseline,active,Fj40,2026-03-15,mcp_whatsapp_number_1_archive_fj40_00114|data/raw/imports/akber_khan/00000149-ΓÇÄCool Sun 2 and 1 other contact.vcf,coolsun_primary|coolsun_secondary,"Fj40 group advised Coolsun for a quick A/C diagnosis. This ties to the hidden evaporator and Vitz manual A/C donor idea.","Use after HVAC packaging photos and donor target are ready; ask Coolsun for serviceability, hose routing and drier/switch recommendations."
suspension_local_supplier_ironman,Local new suspension supplier path,suspension_idea,steering_brakes_suspension,active,Fj40,2026-04-19,mcp_whatsapp_number_2_true_120363408465558195_g_us_3b3f2ee331c1eac9b7e6_190950068514824_lid|mcp_whatsapp_number_2_true_120363408465558195_g_us_3b2866f7ee67e988abfe_190950068514824_lid,karachi_suspension_contact,"Messages show a preference for a new local supplier route over uncertain OME. Ironman foam cell pricing/lead-time was discussed before ordering.","Keep local supplier evidence, warranty, exact part numbers and missing front damper follow-up tied to the suspension workstream."
