requirement_id,scope,requirement_type,requirement,acceptance_criteria,verification,applies_to,release_status,notes
MFG-001,release_control,route_control,"Choose one route before spending: OE/reproduction purchase or local fabrication. Do not mix OE/repro body-mount cushions with locally fabricated cushions in the same mount family.","One signed route decision recorded before production PO; non-selected route marked do-not-order.","Check body_mount_release_actions.csv and body_mount_order_release_specs.csv before placing order.","all body-mount rubber and related stack parts",open,"Prevents duplicate purchase and mixed compression behavior."
MFG-002,release_control,revision_control,"Fabricator must manufacture only from the released revision of the spec pack: drawing/doc date, CSV part ID, and release dimensions filled from the measurement closure table.","Quote may use current nominal dimensions; production must use release_value_mm where the closure table marks released.","Compare shop traveler/quote to rubber_recreation_measurement_closure.csv and rubber_recreation_fabrication_specs.csv.","BM-ISO-SM; BM-ISO-LG; FS-OVAL; FS-STRIP-L; FS-STRIP-R; BM-SLV; BM-CUP",open,"Body isolators are now square pads; strip rows are holds until physical trace proves them."
MFG-003,first_article,prototype_batch,"Make first articles before full batch: one BM-ISO-SM, one BM-ISO-LG, one FS-OVAL, one 70 mm bump stop, and one 60 mm bump stop. Make strip trials only if the strip route is proven.","No full production until first articles pass dimensional check, durometer check, stack dry-fit, and vehicle/carrier fit check.","Owner/mechanic inspection against closure table and dry-stack notes.","all local fabricated rubber pieces",open,"First article can be made from quote dimensions but must not become full production without release signoff."
MFG-004,process_control,batch_consistency,"All pieces in one rubber family must come from one compound batch and one cure/cutting setup.","Hardness spread within each family <=5 Shore A points; no visible color/texture difference across matched pieces.","Durometer readings and visual inspection by part family.","BM-ISO-SM set; BM-ISO-LG pair; FS-OVAL pair; FS-STRIP-L/R pair if released",open,"Keep left/right and paired stations matched."
MAT-001,material,base_compound,"Use new black automotive mount-grade solid rubber only: EPDM or NR/SBR for body/front-support mounts unless a measured original sample proves a different compound.","No reclaimed tyre rubber, crumb rubber, sponge foam, mixed offcuts, used rubber, old salvage rubber, or unidentified compound.","Supplier declaration plus cut-face visual inspection.","BM-ISO-SM; BM-ISO-LG; FS-OVAL; FS-STRIP-L; FS-STRIP-R",open,"These parts are not fuel-wetted seals. Fuel-wetted seals require NBR/FKM under the separate rubber ordering spec."
MAT-002,material,hardness,"Hardness target is Shore A 60 +/-5 measured after cure and at least 24 hours at room temperature.","Each checked part family must read 55-65 Shore A; preferred target 58-62 Shore A for matched pairs.","ASTM D2240 Shore A durometer or equivalent calibrated Shore A gauge.","BM-ISO-SM; BM-ISO-LG; FS-OVAL; FS-STRIP-L; FS-STRIP-R",open,"Do not mix polyurethane with rubber in these mount positions."
MAT-003,material,compression_set,"Compound must resist permanent compression set for static body-mount service.","Target <=25 percent; reject if >30 percent after 22 h at 70 C and 25 percent deflection, unless a better OE-equivalent compound certificate is supplied.","ASTM D395 Method B test coupon from same compound batch, or supplier certificate from the compound vendor.","BM-ISO-SM; BM-ISO-LG; FS-OVAL",open,"If local fabricator cannot test this, require written compound data from the rubber stock supplier."
MAT-004,material,tensile_and_elongation,"Compound must not be brittle or low-strength filler-heavy rubber.","Minimum tensile strength 8 MPa and elongation at break 250 percent on batch data; higher is preferred for mount service.","ASTM D412 supplier certificate or rubber stock datasheet.","BM-ISO-SM; BM-ISO-LG; FS-OVAL; FS-STRIP-L; FS-STRIP-R",open,"This screens out cheap hard filler rubber that may pass durometer but crack in service."
MAT-005,material,heat_age,"Compound must tolerate engine-bay and underbody heat without hardening, cracking, or becoming tacky.","After 70 h at 70 C: no cracking or tackiness; hardness change within +/-10 Shore A points; tensile/elongation retained at least 70 percent if data is available.","ASTM D573 supplier certificate or batch data; visual check after simple heated sample hold if no lab data is available.","BM-ISO-SM; BM-ISO-LG; FS-OVAL; FS-STRIP-L; FS-STRIP-R",open,"Pakistan summer heat and engine-bay soak make heat aging more important than appearance."
MAT-006,material,ozone_weathering,"Compound must be exterior/weather suitable and ozone resistant.","No visible surface cracking on stretched sample per supplier data, or written confirmation that the compound is automotive exterior/mount grade with antiozonant package.","ASTM D1149 certificate where available; otherwise compound vendor written declaration.","BM-ISO-SM; BM-ISO-LG; FS-OVAL; FS-STRIP-L; FS-STRIP-R",open,"EPDM is preferred for weathering; NR/SBR must include antiozonant protection."
