feature,reference_value,provenance,confidence,production_release,required_gate,source_url
public early replacement-panel product envelope,1400 x 250 x 100 mm,"Reborn FJ 1968-1978 steel dashboard listing; centimetre-resolution product dimension, not installed RHD face datums, bends or aperture coordinates",PUBLISHED_VENDOR_ENVELOPE,NOT FOR CNC,M1 physical full-width trace,https://rebornfj.com/product-detail/for-toyota-land-cruiser-fj40-fj45_26995.html
full dashboard visible-face perimeter,"nominal X0..1260, Y-35..220; 170 high normal face plus two local 85 mm pods",Rev H proportional design datum; public vendor envelope is broader product context only and Toyota EPC shows configuration-specific panels,DESIGN_REFERENCE_ONLY,HOLD,M1 physical full-width trace,https://rebornfj.com/product-detail/for-toyota-land-cruiser-fj40-fj45_26995.html
fascia/LCD/inner-vent common centreline,X=630.0; inner vents X=464.0/796.0,parametric Rev H constraint: LCD centre equals fascia centreline; inner-pair midpoint equals same centreline; equal offsets ±166.0,MATHEMATICALLY_EXACT_IN_NOMINAL_MODEL,HOLD for physical transfer,M1 + M5 + M9,
OEM glovebox,210 mm nominal visual envelope = 16.67% of model width,source-photo proportional measurement; Toyota parts fitment family provides no public 1978 RHD lid/hinge dimensional drawing,VISUAL_RATIO_ONLY; PHYSICAL_TRANSFER_REQUIRED,HOLD,M2 direct trace and opening sweep,https://www.megazip.net/zapchasti-dlya-avtomobilej/toyota/land-cruiser-38286/fj40-55808/fj40lv-kw-936553/instrument-panel-glove-compartment-18026590
OEM speedometer / cluster,290 mm schematic visual envelope = 23.02% of model width; 1.38 x glovebox envelope,source-photo proportional placeholder only; perspective has no scale datum and Toyota parts fitment family provides no public 1978 RHD cluster dimensional drawing,VISUAL_RATIO_ONLY; PHYSICAL_TRANSFER_REQUIRED,HOLD,"M3 direct transfer of the existing factory opening, rear depth, mounts, column relationship and sight line; do not relocate",https://www.megazip.net/zapchasti-dlya-avtomobilej/toyota/land-cruiser-38286/fj40-55808/fj40lv-kw-936553/instrument-panel-glove-compartment-18026590
steering-column relief and swept keep-out,"axis X=930.0; relief width 130, rise 32; keep-out 130 x 105",Rev H packaging intent inferred from owner photo; no public vehicle-specific RHD column interface drawing located,NOMINAL_LAYOUT_ONLY,HOLD / DO NOT CNC,M1 + M3 + M8 + M9 direct column/shroud/stalk/sweep trace and 1:1 mock-up,
LCD active-image reference,199.2 x 112.1; 228.6 diagonal,mathematical 9-inch 16:9 reference; Sehgal local listing states 9-inch but has no chassis/cutout drawing,REFERENCE_ONLY,HOLD,M4-M5 bought sample and manufacturer drawing,https://sehgalmotors.pk/products/universal-android-lcd-tab-9-inches-with-wiring-without-main-grip
LCD bezel/aperture/support,224 x 136 / 202 x 115 / 246 x 158 nominal,design envelope only,PHYSICAL_TRANSFER_REQUIRED,HOLD,M4-M5,
generic silver vent family,face Ø87; panel opening Ø75,"Joom listing; cross-check only, generic variants have spigot/retainer variation",PUBLISHED_LISTING_REFERENCE,HOLD,M7 received matched four-piece sample batch + calipers,https://www.joom.com/en/products/68c8f9fa6dffb3012ca80d30
high outer / lowered inner vent layout,"centres=((50.0, 168.5), (464.0, 20.0), (796.0, 20.0), (1210.0, 168.5)); outer bezel-top Y=212.0; inner face-top Y=63.5; pod-bottom Y=-35.0",Rev H layout decision; inner pair is exactly symmetric about LCD/fascia centreline and clears the LCD vertically; outer faces remain high near usable ends,DESIGN_LOCKED_IN_NOMINAL_MODEL,"HOLD for vehicle, bought-part and driver-clearance transfer",M1 + M7 + M8 + M9,
V4 right-outlet / control-bank relationship,nominal Ø22.5 head gap=35.75; lower V4 rim to bank/label envelope=19; end lands visible/cut=6.5/12.5,"Straight-on bare-shell overlay controls visual placement only; the nominal head gap passes the ≥20 face-layout target, while 19 mm is to the conservative bank/label envelope; V4 cannot move farther right without reducing already-minimal end lands",NOMINAL_VISUAL_RELATION_ONLY,HOLD,M6 actual selector head clearance ≥20; M7 vent sample; M8-M9 rear retainer/neck/elbow/duct clearance ≥10 to contact blocks/terminals/wiring,
extreme-right two-row control bank,"columns X=(1120.0, 1160.0, 1200.0, 1240.0); top Y=78.0; bottom Y=20.0; 40 mm horizontal / 58 mm vertical pitch","Rev H V6 packaging decision: S1-S4 top and S5-S8 bottom, compacted and centred in the existing shallow channel, wholly right of the nominal steering-column keep-out",DESIGN_LOCKED_IN_NOMINAL_MODEL,"HOLD for physical part, lever sweep, duct, column and driver checks",M6 + M8 + M9,
Schneider-style selector aperture,Ø22.5,Schneider Electric Harmony XB4 published mounting diameter,VERIFIED_PRODUCT_STANDARD,HOLD to bought-part confirmation,M6 part-code photo + calipers,https://shop.se.com/pro/us/en/product/selector-switch-harmony-xb4-black-22mm-3-positions-stay-put-2no/
Schneider-style selector rear envelope,68,Schneider Electric Harmony XB4 published complete depth,VERIFIED_PRODUCT_STANDARD,HOLD to bought-part confirmation,M6 part-code photo + rear-stack trial,https://shop.se.com/pro/us/en/product/selector-switch-harmony-xb4-black-22mm-3-positions-stay-put-2no/
hazard aperture,Ø16 nominal,no selected/published hazard part drawing,REFERENCE_ONLY,HOLD,M6 actual part,
