spec_id,area,requirement,minimum_acceptance,evidence_required,fail_condition
L4TW-FCS-001,Radiator,"Build/recore the radiator from the old J40/2H sample, preserving necks, cap, overflow, drain, mounts, and fan/shroud clearance","Old sample controls final geometry; candidate core basis about 435 x 530-540 x 60-64 mm only if it matches the vehicle","Video/photo of old and new/recore radiator together; pressure/flow test result","Random model-name radiator; wrong necks/cap/drain/mounts; no pressure test"
L4TW-FCS-002,Radiator support,"Support radiator from both sides on rubber-isolated lower pads/saddles and side retainers","Radiator sits square with no tank twist, no hose tension, and no one-sided support dependency","Front and side dry-fit photos with rubber pads and both supports visible","Previous bad one-sided leg copied; radiator used as structural member"
L4TW-FCS-003,Frame,"Fabricate two full-height front cooling-stack uprights","50 x 50 x 4 mm mild-steel angle preferred; 40 x 40 x 3-4 mm SHS/formed plate acceptable if packaging requires","Photos of material thickness, upright placement, and chassis/front support pickup","2 mm angle, aluminium angle, twisted/pitted stock, unsupported single upright"
L4TW-FCS-004,Frame attachment,"Attach uprights through sound chassis/front support structure","Bolt-through saddles with crush tubes/spacers preferred; weld only to cleaned sound metal after dry-fit approval","Close photos of saddle/bolt route or weld-prep area before coating","Weld to rusty/painted metal; clamp boxed section without spacer; hard mount to radiator tank/core"
L4TW-FCS-005,Condenser,"Fit R134a parallel-flow condenser ahead of radiator","Target 14 x 22 in; 14 x 23 in accepted if clear width >=600 mm, clear height >=370 mm, thickness about 20-26 mm","Tape photos of condenser overall width/height/depth, port side, and installed position","Tube-fin/unknown condenser; too wide/tall/deep; bent/oily; no fitting proof"
L4TW-FCS-006,Condenser mounting,"Mount condenser independently from radiator","Separate rubber-isolated tabs, 10-15 mm minimum radiator air gap, no fin loading","Side photo showing condenser-to-radiator air gap and tab mounts","Through-fin rods, zip ties, wire, or condenser hanging from radiator"
L4TW-FCS-007,Pusher fan,"Package and install slim 12V pusher fan if required by traffic/head-pressure behavior","12-14 in fan assembly with blade/shroud/mount feet; mounted to hoop/crossbar; airflow direction and current draw known","Fan part photos, depth measurement, current draw note, grille clearance photo/video","Motor-only part, puller-only fan, through-fin mounting, unknown current draw"
L4TW-FCS-008,Receiver-drier,"Install new sealed R134a receiver-drier near condenser outlet","Vertical mount, matched O-ring ports, capped until final assembly, pressure-switch port or separate switch block","Photo of sealed drier, port style, vertical clamp, flow direction","Open/unsealed drier; flare/O-ring mismatch; no pressure-switch provision"
L4TW-FCS-009,Pressure switch,"Protect compressor clutch with binary/trinary pressure switch","Switch thread and logic matched; low/high pressure cutout verified before clutch operation","Continuity/electrical test note or video; switch wiring photo","Compressor can run with no charge or excessive pressure; unknown switch logic"
L4TW-FCS-010,Compressor,"Reuse existing Sanden-type compressor only after compatibility gate","12V clutch; pulley aligned; suction/discharge ports identified; R134a oil plan; shaft/port leak test passed","Compressor label/head/port photos; belt alignment photo; A/C shop leak/oil note","24V compressor on 12V system; wrong pulley; shaft leak; unknown oil after contaminated system"
L4TW-FCS-011,Cabin evaporator,"Accept purchased slimline/under-dash A/C unit into the full system only after fit and function checks","Case fits under J40 dash; drain routes outside; airflow seals across coil; TXV/fittings identified; leak test passed","All-side measurements, under-dash cardboard/mock-up photos, drain route photo, fitting/TXV photos, airflow/current notes","Bulky visible hang-on install forced; no drain route; unsealed airflow; fitting conflict; no leak test"
L4TW-FCS-012,Hoses,"Fabricate R134a barrier hoses after all component positions are locked","Matched crimp fittings, HNBR O-rings, service ports, protected pass-throughs, no belt/fan/exhaust contact; route is compressor to condenser to drier to TXV/evaporator to compressor suction","Pre-crimp route photos; final crimp photos; nitrogen/vacuum leak-check note","Hydraulic/fuel hose; crimp before layout; hose rubs belt/fan/exhaust; wrong fitting standard"
L4TW-FCS-013,Electrical,"Wire A/C fan, clutch, and blower through protected circuits","Fuse/relay sizing based on measured fan/clutch/blower current; pressure-switch logic included","Fuse/relay/wiring photo; current draw note; functional test video","Unfused feed, undersized wiring, no relay where required, pressure switch bypassed"
L4TW-FCS-014,Final serviceability,"All front-stack and under-dash A/C parts remain removable and serviceable","Radiator, condenser, fan, drier, evaporator/filter/drain, and service ports accessible without cutting welded parts","Final installed photos with grille/bonnet/dash clearance and service points visible","Bonnet latch, grille, cap, drain, fan, belts, hose, evaporator, filter, or service access blocked"
L4TW-FCS-015,Final validation,"Validate coolant and A/C system before handoff","Cooling pressure test, warm idle leak check, A/C vacuum hold, pressure protection, condenser fan behavior, drain test, airflow test, and running clearance pass","Pressure/vacuum test photos or video; warm running clearance video; condensate and airflow notes","Leaks, overheating/head-pressure issue, clutch not cutting out, fan not responding, condensate leak, weak airflow, unresolved contact/rub"
